target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	190	22.4388
LOC_Os01g01010.2	2218	2019	0	0
LOC_Os01g01019.1	1127	928	0	0
LOC_Os01g01030.1	2464	2265	9	1.3224
LOC_Os01g01040.4	1524	1325	0	0
LOC_Os01g01040.1	2508	2309	79.4731	11.4547
LOC_Os01g01040.3	2583	2384	114.743	16.0179
LOC_Os01g01040.2	2482	2283	30.7842	4.48754
LOC_Os01g01050.2	1996	1797	55.2676	10.2355
LOC_Os01g01050.1	2039	1840	48.7324	8.81428
LOC_Os01g01060.1	920	721	195	90.0091
LOC_Os01g01070.3	1369	1170	17.2464	4.90569
LOC_Os01g01070.1	1568	1369	0	0
LOC_Os01g01070.2	1562	1363	87.7536	21.4267
LOC_Os01g01080.2	1976	1777	0	0
LOC_Os01g01080.1	1955	1756	853.104	161.683
LOC_Os01g01080.3	2042	1843	11.896	2.14814
LOC_Os01g01090.1	2409	2210	0	0
LOC_Os01g01100.1	4017	3818	0	0
LOC_Os01g01110.1	891	692	0	0
LOC_Os01g01115.1	2433	2234	9	1.34075
LOC_Os01g01120.1	1206	1007	157.863	52.1722
LOC_Os01g01130.1	2002	1803	56.1367	10.3619
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	69.8852	5.23947
LOC_Os01g01150.1	3756	3557	201.321	18.8361
LOC_Os01g01150.3	4603	4404	101.794	7.6924
LOC_Os01g01160.1	1090	891	136	50.7982
LOC_Os01g01170.1	2334	2135	3	0.467639
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	0	0
LOC_Os01g01210.1	639	440	0	0
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	0	0
LOC_Os01g01250.1	2499	2300	0	0
LOC_Os01g01260.1	6084	5885	0	0
LOC_Os01g01270.1	3840	3641	1	0.0914043
LOC_Os01g01280.1	1226	1027	51	16.5267
LOC_Os01g01290.1	1556	1357	1	0.245249
LOC_Os01g01295.1	1793	1594	50	10.4392
LOC_Os01g01302.1	1155	956	173	60.2248
LOC_Os01g01307.1	979	780	342	145.921
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	132	11.0766
LOC_Os01g01320.1	2808	2609	0	0
LOC_Os01g01330.1	1223	1024	11	3.57503
LOC_Os01g01340.2	1731	1532	55.0004	11.948
LOC_Os01g01340.1	1645	1446	1489	342.7
LOC_Os01g01350.1	1151	952	0.749409	0.261981
LOC_Os01g01350.2	1574	1375	3.25059	0.786768
LOC_Os01g01360.1	2503	2304	15	2.16669
LOC_Os01g01369.1	1545	1346	164	40.5495
LOC_Os01g01380.1	3482	3283	53	5.37269
LOC_Os01g01390.1	2142	1943	104	17.8134
LOC_Os01g01390.2	2175	1976	0	0
LOC_Os01g01390.4	2261	2062	0	0
LOC_Os01g01390.5	1054	855	0	0
LOC_Os01g01390.3	2182	1983	0	0
LOC_Os01g01400.1	2735	2536	21.4584	2.81602
LOC_Os01g01410.1	2489	2290	16.5678	2.40779
LOC_Os01g01410.2	2486	2287	68.9737	10.037
LOC_Os01g01420.1	1657	1458	345.663	78.901
LOC_Os01g01420.3	1653	1454	60.6476	13.8815
LOC_Os01g01420.2	1913	1714	35.0118	6.79815
LOC_Os01g01430.1	1425	1226	25.0232	6.79265
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	475.279	122.331
LOC_Os01g01450.1	1634	1435	5.72123	1.32686
LOC_Os01g01460.1	312	113.306	0	0
LOC_Os01g01470.1	1558	1359	0	0
LOC_Os01g01484.4	1906	1707	157.563	30.719
LOC_Os01g01484.1	2241	2042	22.4504	3.65895
LOC_Os01g01484.2	2238	2039	66.7949	10.9022
LOC_Os01g01484.5	2301	2102	0	0
LOC_Os01g01500.1	303	104.564	0	0
LOC_Os01g01510.2	2506	2307	0	0
LOC_Os01g01510.1	2425	2226	189	28.2569
LOC_Os01g01520.1	1745	1546	3	0.645801
LOC_Os01g01530.1	1350	1151	0	0
LOC_Os01g01540.1	513	314	0	0
LOC_Os01g01550.1	1329	1130	0.976631	0.287634
LOC_Os01g01560.1	2240	2041	0	0
LOC_Os01g01570.1	1950	1751	80	15.2052
LOC_Os01g01580.1	692	493	0	0
LOC_Os01g01590.1	339	140.036	0	0
LOC_Os01g01600.1	1700	1501	0	0
LOC_Os01g01610.1	837	638	23	11.9976
LOC_Os01g01620.1	1609	1410	275	64.9084
LOC_Os01g01640.1	1026	827	148	59.5585
LOC_Os01g01650.1	1313	1114	0	0
LOC_Os01g01660.1	1207	1008	2	0.660323
LOC_Os01g01670.2	1117	918	0	0
LOC_Os01g01670.1	991	792	41	17.2284
LOC_Os01g01680.1	1023	824	15	6.05831
LOC_Os01g01689.3	9026	8827	202.098	7.61967
LOC_Os01g01689.1	8736	8537	241.902	9.43021
LOC_Os01g01700.1	779	580	129	74.02
LOC_Os01g01710.1	1902	1703	825.568	161.334
LOC_Os01g01710.2	1801	1602	20.4319	4.24457
LOC_Os01g01720.1	1913	1714	144.529	28.0628
LOC_Os01g01720.2	1910	1711	82.4713	16.0413
LOC_Os01g01730.1	573	374	0	0
LOC_Os01g01740.1	2068	1869	6	1.06839
LOC_Os01g01760.1	711	512	6	3.90004
LOC_Os01g01770.1	1005	806	0	0
LOC_Os01g01780.1	2084	1885	10	1.76553
LOC_Os01g01790.1	2404	2205	636.473	96.0635
LOC_Os01g01790.2	2061	1862	14.5274	2.59655
LOC_Os01g01800.2	3133	2934	46.2618	5.24747
LOC_Os01g01800.1	3071	2872	156.738	18.1626
LOC_Os01g01810.1	318	119.198	0	0
LOC_Os01g01830.1	3274	3075	364	39.3952
LOC_Os01g01840.1	1284	1085	26	7.975
LOC_Os01g01850.1	6084	5885	0	0
LOC_Os01g01860.1	3144	2945	0	0
LOC_Os01g01870.1	1347	1148	61	17.6838
LOC_Os01g01880.1	625	426	0	0
LOC_Os01g01890.1	2374	2175	3	0.459039
LOC_Os01g01900.1	3243	3044	0	0
LOC_Os01g01910.1	765	566	12	7.05589
