target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	730.959	20.9538
LOC_Os01g01010.2	2218	2019	46.041	1.84212
LOC_Os01g01019.1	1127	928	3	0.261146
LOC_Os01g01030.1	2464	2265	49	1.74759
LOC_Os01g01040.4	1524	1325	0	0
LOC_Os01g01040.1	2508	2309	126.702	4.43273
LOC_Os01g01040.3	2583	2384	354.837	12.0235
LOC_Os01g01040.2	2482	2283	222.461	7.87152
LOC_Os01g01050.2	1996	1797	276.293	12.4203
LOC_Os01g01050.1	2039	1840	124.707	5.47498
LOC_Os01g01060.1	920	721	877.351	98.2989
LOC_Os01g01070.3	1369	1170	57.4258	3.96489
LOC_Os01g01070.1	1568	1369	19.1097	1.12762
LOC_Os01g01070.2	1562	1363	431.465	25.5717
LOC_Os01g01080.2	1976	1777	43.7829	1.99034
LOC_Os01g01080.1	1955	1756	3270.47	150.451
LOC_Os01g01080.3	2042	1843	77.7518	3.40797
LOC_Os01g01090.1	2409	2210	0	0
LOC_Os01g01100.1	4017	3818	0	0
LOC_Os01g01110.1	891	692	1	0.116736
LOC_Os01g01115.1	2433	2234	46	1.66336
LOC_Os01g01120.1	1206	1007	697.036	55.916
LOC_Os01g01130.1	2002	1803	239.964	10.7513
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	281.226	5.11777
LOC_Os01g01150.1	3756	3557	835.051	18.9644
LOC_Os01g01150.3	4603	4404	437.723	8.02903
LOC_Os01g01160.1	1090	891	353	32.0042
LOC_Os01g01170.1	2334	2135	19	0.718896
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	2	0.0743158
LOC_Os01g01210.1	639	440	0	0
LOC_Os01g01230.1	663	464	1	0.174097
LOC_Os01g01240.1	4689	4490	2.12896	0.0383028
LOC_Os01g01250.1	2499	2300	0	0
LOC_Os01g01260.1	6084	5885	0	0
LOC_Os01g01270.1	3840	3641	3	0.0665597
LOC_Os01g01280.1	1226	1027	199	15.6528
LOC_Os01g01290.1	1556	1357	0	0
LOC_Os01g01295.1	1793	1594	190	9.62888
LOC_Os01g01302.1	1155	956	1037	87.6257
LOC_Os01g01307.1	979	780	1441.53	149.293
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	569	11.5896
LOC_Os01g01320.1	2808	2609	3.54232	0.109679
LOC_Os01g01330.1	1223	1024	45	3.54996
LOC_Os01g01340.2	1731	1532	764.665	40.3202
LOC_Os01g01340.1	1645	1446	12268.2	685.368
LOC_Os01g01350.1	1151	952	32.1831	2.73087
LOC_Os01g01350.2	1574	1375	4.81692	0.282994
LOC_Os01g01360.1	2503	2304	24	0.841471
LOC_Os01g01369.1	1545	1346	725	43.5114
LOC_Os01g01380.1	3482	3283	261	6.42214
LOC_Os01g01390.1	2142	1943	411.432	17.1055
LOC_Os01g01390.2	2175	1976	60.9014	2.48972
LOC_Os01g01390.4	2261	2062	0	0
LOC_Os01g01390.5	1054	855	8.154	0.770398
LOC_Os01g01390.3	2182	1983	0	0
LOC_Os01g01400.1	2735	2536	57.0297	1.81661
LOC_Os01g01410.1	2489	2290	200.663	7.07851
LOC_Os01g01410.2	2486	2287	181.308	6.40413
LOC_Os01g01420.1	1657	1458	1132.56	62.7499
LOC_Os01g01420.3	1653	1454	117.273	6.51544
LOC_Os01g01420.2	1913	1714	171.387	8.07749
LOC_Os01g01430.1	1425	1226	66.038	4.35125
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	1762.8	110.132
LOC_Os01g01450.1	1634	1435	10.2003	0.574213
LOC_Os01g01460.1	312	113.306	0	0
LOC_Os01g01470.1	1558	1359	0	0
LOC_Os01g01484.4	1906	1707	705.399	33.382
LOC_Os01g01484.1	2241	2042	281.433	11.1335
LOC_Os01g01484.2	2238	2039	23.9653	0.949459
LOC_Os01g01484.5	2301	2102	0	0
LOC_Os01g01500.1	303	104.564	0	0
LOC_Os01g01510.2	2506	2307	117.233	4.10498
LOC_Os01g01510.1	2425	2226	725.767	26.338
LOC_Os01g01520.1	1745	1546	18	0.940532
LOC_Os01g01530.1	1350	1151	2.56541	0.180049
LOC_Os01g01540.1	513	314	0	0
LOC_Os01g01550.1	1329	1130	0	0
LOC_Os01g01560.1	2240	2041	2.33233	0.0923118
LOC_Os01g01570.1	1950	1751	315.88	14.5729
LOC_Os01g01580.1	692	493	15	2.45785
LOC_Os01g01590.1	339	140.036	2	1.15372
LOC_Os01g01600.1	1700	1501	4	0.215273
LOC_Os01g01610.1	837	638	89	11.2689
LOC_Os01g01620.1	1609	1410	1155	66.1719
LOC_Os01g01640.1	1026	827	586	57.2404
LOC_Os01g01650.1	1313	1114	3	0.217544
LOC_Os01g01660.1	1207	1008	9	0.721261
LOC_Os01g01670.2	1117	918	3.63446	0.319821
LOC_Os01g01670.1	991	792	106.366	10.8489
LOC_Os01g01680.1	1023	824	42	4.11749
LOC_Os01g01689.3	9026	8827	1103.99	10.1033
LOC_Os01g01689.1	8736	8537	820.008	7.75931
LOC_Os01g01700.1	779	580	730	101.673
LOC_Os01g01710.1	1902	1703	3354.76	159.132
