target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	1889.46	26.403
LOC_Os01g01010.2	2218	2019	98.5432	1.92197
LOC_Os01g01019.1	1127	928	1	0.0424335
LOC_Os01g01030.1	2464	2265	161	2.79908
LOC_Os01g01040.4	1524	1325	31.1217	0.924919
LOC_Os01g01040.1	2508	2309	631.141	10.7636
LOC_Os01g01040.3	2583	2384	565.899	9.34738
LOC_Os01g01040.2	2482	2283	474.838	8.19024
LOC_Os01g01050.2	1996	1797	470.413	10.3083
LOC_Os01g01050.1	2039	1840	403.587	8.63726
LOC_Os01g01060.1	920	721	1304.19	71.23
LOC_Os01g01070.3	1369	1170	115.525	3.88817
LOC_Os01g01070.1	1568	1369	48.1402	1.38472
LOC_Os01g01070.2	1562	1363	879.335	25.4048
LOC_Os01g01080.2	1976	1777	155.539	3.44675
LOC_Os01g01080.1	1955	1756	6311.31	141.531
LOC_Os01g01080.3	2042	1843	49.1465	1.05009
LOC_Os01g01090.1	2409	2210	4.34579	0.0774343
LOC_Os01g01100.1	4017	3818	9.33243	0.0962534
LOC_Os01g01110.1	891	692	1	0.0569051
LOC_Os01g01115.1	2433	2234	83	1.46303
LOC_Os01g01120.1	1206	1007	2573.13	100.621
LOC_Os01g01130.1	2002	1803	602.865	13.1668
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	1002.32	8.89159
LOC_Os01g01150.1	3756	3557	2210.92	24.4763
LOC_Os01g01150.3	4603	4404	1620.76	14.492
LOC_Os01g01160.1	1090	891	1155	51.0459
LOC_Os01g01170.1	2334	2135	77	1.4202
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	2	0.0362266
LOC_Os01g01210.1	639	440	2	0.178992
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	1.78273e-05	1.5635e-07
LOC_Os01g01250.1	2499	2300	0	0
LOC_Os01g01260.1	6084	5885	0	0
LOC_Os01g01270.1	3840	3641	11	0.118968
LOC_Os01g01280.1	1226	1027	450	17.2544
LOC_Os01g01290.1	1556	1357	15	0.43528
LOC_Os01g01295.1	1793	1594	428	10.5733
LOC_Os01g01302.1	1155	956	3632	149.605
LOC_Os01g01307.1	979	780	2177	109.906
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	873	8.66799
LOC_Os01g01320.1	2808	2609	1.16025	0.0175119
LOC_Os01g01330.1	1223	1024	82	3.15334
LOC_Os01g01340.2	1731	1532	1904.64	48.9566
LOC_Os01g01340.1	1645	1446	28756.9	783.124
LOC_Os01g01350.1	1151	952	99.8867	4.13169
LOC_Os01g01350.2	1574	1375	20.1133	0.576021
LOC_Os01g01360.1	2503	2304	77	1.31603
LOC_Os01g01369.1	1545	1346	1009	29.5191
LOC_Os01g01380.1	3482	3283	821.051	9.84819
LOC_Os01g01390.1	2142	1943	796.922	16.151
LOC_Os01g01390.2	2175	1976	156.571	3.1202
LOC_Os01g01390.4	2261	2062	75.9162	1.44978
LOC_Os01g01390.5	1054	855	9.93893	0.457752
LOC_Os01g01390.3	2182	1983	221.014	4.38889
