target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	1031.18	26.4408
LOC_Os01g01010.2	2218	2019	24.8166	0.888148
LOC_Os01g01019.1	1127	928	7	0.545041
LOC_Os01g01030.1	2464	2265	89	2.83923
LOC_Os01g01040.4	1524	1325	43.4332	2.36856
LOC_Os01g01040.1	2508	2309	202.289	6.33035
LOC_Os01g01040.3	2583	2384	216.237	6.55394
LOC_Os01g01040.2	2482	2283	278.041	8.79999
LOC_Os01g01050.2	1996	1797	351.261	14.1241
LOC_Os01g01050.1	2039	1840	224.739	8.8255
LOC_Os01g01060.1	920	721	606.329	60.7648
LOC_Os01g01070.3	1369	1170	92.865	5.73516
LOC_Os01g01070.1	1568	1369	20.1516	1.06362
LOC_Os01g01070.2	1562	1363	419.983	22.2646
LOC_Os01g01080.2	1976	1777	0	0
LOC_Os01g01080.1	1955	1756	2486.29	102.307
LOC_Os01g01080.3	2042	1843	55.7146	2.18435
LOC_Os01g01090.1	2409	2210	0	0
LOC_Os01g01100.1	4017	3818	3.32761	0.062976
LOC_Os01g01110.1	891	692	1	0.104417
LOC_Os01g01115.1	2433	2234	34	1.0997
LOC_Os01g01120.1	1206	1007	2285.77	164.014
LOC_Os01g01130.1	2002	1803	264.229	10.5892
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	531.25	8.64755
LOC_Os01g01150.1	3756	3557	1038.37	21.0934
LOC_Os01g01150.3	4603	4404	875.384	14.3625
LOC_Os01g01160.1	1090	891	839	68.0398
LOC_Os01g01170.1	2334	2135	21	0.710723
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	3	0.0997105
LOC_Os01g01210.1	639	440	0	0
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	2.09366	0.0336929
LOC_Os01g01250.1	2499	2300	1.37606	0.0432302
LOC_Os01g01260.1	6084	5885	1.17764	0.0144593
LOC_Os01g01270.1	3840	3641	4.40305	0.08738
LOC_Os01g01280.1	1226	1027	397	27.9318
LOC_Os01g01290.1	1556	1357	7	0.372732
LOC_Os01g01295.1	1793	1594	224	10.154
LOC_Os01g01302.1	1155	956	2590	195.759
LOC_Os01g01307.1	979	780	724	67.0692
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	345	6.28558
LOC_Os01g01320.1	2808	2609	5.31364	0.147163
LOC_Os01g01330.1	1223	1024	41	2.8931
LOC_Os01g01340.2	1731	1532	1126.53	53.1329
LOC_Os01g01340.1	1645	1446	24255.5	1212.05
LOC_Os01g01350.1	1151	952	57.0582	4.33072
LOC_Os01g01350.2	1574	1375	4.9418	0.259694
LOC_Os01g01360.1	2503	2304	71	2.22666
LOC_Os01g01369.1	1545	1346	493	26.4655
LOC_Os01g01380.1	3482	3283	388.441	8.54935
LOC_Os01g01390.1	2142	1943	437.312	16.2629
