target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	1004.22	24.7747
LOC_Os01g01010.2	2218	2019	91.7793	3.1603
LOC_Os01g01019.1	1127	928	1	0.0749156
LOC_Os01g01030.1	2464	2265	84	2.57829
LOC_Os01g01040.4	1524	1325	9.76611	0.51242
LOC_Os01g01040.1	2508	2309	383.04	11.5329
LOC_Os01g01040.3	2583	2384	384.489	11.2124
LOC_Os01g01040.2	2482	2283	193.705	5.89868
LOC_Os01g01050.2	1996	1797	376.253	14.5563
LOC_Os01g01050.1	2039	1840	179.747	6.79148
LOC_Os01g01060.1	920	721	859.579	82.8841
LOC_Os01g01070.3	1369	1170	154.156	9.15999
LOC_Os01g01070.1	1568	1369	94.6531	4.80675
LOC_Os01g01070.2	1562	1363	647.191	33.0109
LOC_Os01g01080.2	1976	1777	95.7388	3.7456
LOC_Os01g01080.1	1955	1756	3440.83	136.226
LOC_Os01g01080.3	2042	1843	53.4315	2.01555
LOC_Os01g01090.1	2409	2210	1.69055	0.0531809
LOC_Os01g01100.1	4017	3818	3.34017	0.060821
LOC_Os01g01110.1	891	692	1	0.100465
LOC_Os01g01115.1	2433	2234	77	2.39623
LOC_Os01g01120.1	1206	1007	584.773	40.3718
LOC_Os01g01130.1	2002	1803	394.227	15.201
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	471.348	7.38205
LOC_Os01g01150.1	3756	3557	1340.12	26.1926
LOC_Os01g01150.3	4603	4404	656.535	10.3641
LOC_Os01g01160.1	1090	891	340	26.529
LOC_Os01g01170.1	2334	2135	9	0.293066
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	1	0.0319787
LOC_Os01g01210.1	639	440	0	0
LOC_Os01g01230.1	663	464	0	0
LOC_Os01g01240.1	4689	4490	0	0
LOC_Os01g01250.1	2499	2300	1.11104	0.0335833
LOC_Os01g01260.1	6084	5885	0	0
LOC_Os01g01270.1	3840	3641	3	0.0572824
LOC_Os01g01280.1	1226	1027	168	11.3726
LOC_Os01g01290.1	1556	1357	3	0.153696
LOC_Os01g01295.1	1793	1594	262	11.427
LOC_Os01g01302.1	1155	956	917	66.6856
LOC_Os01g01307.1	979	780	1987	177.102
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	854	14.9701
LOC_Os01g01320.1	2808	2609	19.9004	0.530282
LOC_Os01g01330.1	1223	1024	53	3.59829
LOC_Os01g01340.2	1731	1532	372.53	16.9053
LOC_Os01g01340.1	1645	1446	6950.11	334.152
LOC_Os01g01350.1	1151	952	29.323	2.14137
LOC_Os01g01350.2	1574	1375	6.67696	0.337596
LOC_Os01g01360.1	2503	2304	61	1.84063
LOC_Os01g01369.1	1545	1346	972	50.2044
LOC_Os01g01380.1	3482	3283	354.983	7.51721
LOC_Os01g01390.1	2142	1943	498.977	17.8537
LOC_Os01g01390.2	2175	1976	1.37746e-05	4.84633e-07
LOC_Os01g01390.4	2261	2062	18.2265	0.614517
LOC_Os01g01390.5	1054	855	8.04092	0.653823
LOC_Os01g01390.3	2182	1983	115.755	4.05824
LOC_Os01g01400.1	2735	2536	125.951	3.4528
LOC_Os01g01410.1	2489	2290	307.212	9.32658
LOC_Os01g01410.2	2486	2287	159.837	4.85884
LOC_Os01g01420.1	1657	1458	1339.16	63.855
LOC_Os01g01420.3	1653	1454	248.714	11.892
LOC_Os01g01420.2	1913	1714	127.818	5.18444
LOC_Os01g01430.1	1425	1226	200	11.3412
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	1446.32	77.7653
LOC_Os01g01450.1	1634	1435	11.6808	0.5659
LOC_Os01g01460.1	312	113.306	0	0
LOC_Os01g01470.1	1558	1359	0	0
LOC_Os01g01484.4	1906	1707	923.916	37.6287
LOC_Os01g01484.1	2241	2042	310.981	10.5876
LOC_Os01g01484.2	2238	2039	88.6778	3.02355
LOC_Os01g01484.5	2301	2102	0	0
LOC_Os01g01500.1	303	104.564	0	0
LOC_Os01g01510.2	2506	2307	185.969	5.6042
LOC_Os01g01510.1	2425	2226	1116.03	34.8555
LOC_Os01g01520.1	1745	1546	23	1.03428
LOC_Os01g01530.1	1350	1151	0	0
LOC_Os01g01540.1	513	314	0	0
LOC_Os01g01550.1	1329	1130	0	0
LOC_Os01g01560.1	2240	2041	5.95288	0.20277
LOC_Os01g01570.1	1950	1751	424.344	16.8482
LOC_Os01g01580.1	692	493	10	1.41018
LOC_Os01g01590.1	339	140.036	6	2.97873
LOC_Os01g01600.1	1700	1501	11	0.509486
LOC_Os01g01610.1	837	638	86	9.37126
LOC_Os01g01620.1	1609	1410	1211	59.7098
LOC_Os01g01640.1	1026	827	678	56.996
LOC_Os01g01650.1	1313	1114	0	0
LOC_Os01g01660.1	1207	1008	17	1.17249
LOC_Os01g01670.2	1117	918	3.10713	0.235308
LOC_Os01g01670.1	991	792	144.893	12.7187
LOC_Os01g01680.1	1023	824	40	3.37484
LOC_Os01g01689.3	9026	8827	1646.65	12.9691
LOC_Os01g01689.1	8736	8537	1757.35	14.3111
LOC_Os01g01700.1	779	580	754	90.3782
LOC_Os01g01710.1	1902	1703	3576.14	145.989
