target_id	length	eff_length	est_counts	tpm
LOC_Os01g01010.1	3017	2818	589.321	28.3617
LOC_Os01g01010.2	2218	2019	21.6786	1.45618
LOC_Os01g01019.1	1127	928	4	0.584566
LOC_Os01g01030.1	2464	2265	29	1.73641
LOC_Os01g01040.4	1524	1325	9.24229	0.945988
LOC_Os01g01040.1	2508	2309	160.973	9.45476
LOC_Os01g01040.3	2583	2384	100.016	5.68962
LOC_Os01g01040.2	2482	2283	140.769	8.36225
LOC_Os01g01050.2	1996	1797	231.167	17.4461
LOC_Os01g01050.1	2039	1840	24.8332	1.83036
LOC_Os01g01060.1	920	721	374.343	70.4135
LOC_Os01g01070.3	1369	1170	39.6509	4.59609
LOC_Os01g01070.1	1568	1369	17.0494	1.68899
LOC_Os01g01070.2	1562	1363	192.3	19.1339
LOC_Os01g01080.2	1976	1777	24.4654	1.86718
LOC_Os01g01080.1	1955	1756	1481.02	114.382
LOC_Os01g01080.3	2042	1843	25.5141	1.87748
LOC_Os01g01090.1	2409	2210	0	0
LOC_Os01g01100.1	4017	3818	0	0
LOC_Os01g01110.1	891	692	0	0
LOC_Os01g01115.1	2433	2234	7	0.424949
LOC_Os01g01120.1	1206	1007	986.012	132.793
LOC_Os01g01130.1	2002	1803	146.988	11.0562
LOC_Os01g01140.1	393	194	0	0
LOC_Os01g01150.2	4638	4439	282.157	8.62041
LOC_Os01g01150.1	3756	3557	508.365	19.3827
LOC_Os01g01150.3	4603	4404	476.477	14.6729
LOC_Os01g01160.1	1090	891	695	105.786
LOC_Os01g01170.1	2334	2135	14	0.889307
LOC_Os01g01180.1	219	40.6244	0	0
LOC_Os01g01190.1	1869	1670	0	0
LOC_Os01g01200.1	2373	2174	2.35167	0.146703
LOC_Os01g01210.1	639	440	1	0.308226
LOC_Os01g01230.1	663	464	0.777161	0.227151
LOC_Os01g01240.1	4689	4490	4.41169	0.133254
LOC_Os01g01250.1	2499	2300	0	0
LOC_Os01g01260.1	6084	5885	0	0
LOC_Os01g01270.1	3840	3641	3	0.111743
LOC_Os01g01280.1	1226	1027	241	31.825
LOC_Os01g01290.1	1556	1357	3	0.299822
LOC_Os01g01295.1	1793	1594	114	9.69925
LOC_Os01g01302.1	1155	956	1372	194.634
LOC_Os01g01307.1	979	780	452	78.5897
LOC_Os01g01307.2	835	636	0	0
LOC_Os01g01312.1	4165	3966	140	4.78737
LOC_Os01g01320.1	2808	2609	0	0
LOC_Os01g01330.1	1223	1024	19	2.51637
LOC_Os01g01340.2	1731	1532	203.311	17.998
LOC_Os01g01340.1	1645	1446	3112.59	291.927
LOC_Os01g01350.1	1151	952	12	1.70949
LOC_Os01g01350.2	1574	1375	0	0
LOC_Os01g01360.1	2503	2304	43	2.53109
LOC_Os01g01369.1	1545	1346	270	27.2045
LOC_Os01g01380.1	3482	3283	199	8.22061
LOC_Os01g01390.1	2142	1943	202.896	14.1619
LOC_Os01g01390.2	2175	1976	0	0
LOC_Os01g01390.4	2261	2062	24.7121	1.62533
LOC_Os01g01390.5	1054	855	0	0
LOC_Os01g01390.3	2182	1983	0	0
LOC_Os01g01400.1	2735	2536	2.73259	0.146133
LOC_Os01g01410.1	2489	2290	66.0548	3.91192
LOC_Os01g01410.2	2486	2287	113.213	6.71352
LOC_Os01g01420.1	1657	1458	767.575	71.3979
LOC_Os01g01420.3	1653	1454	240.802	22.4604
LOC_Os01g01420.2	1913	1714	104.24	8.24794
LOC_Os01g01430.1	1425	1226	5	0.553097
LOC_Os01g01440.1	381	182	0	0
LOC_Os01g01450.2	1492	1293	1620.13	169.932
LOC_Os01g01450.1	1634	1435	21.8658	2.0665
LOC_Os01g01460.1	312	113.306	0	0
LOC_Os01g01470.1	1558	1359	0	0
LOC_Os01g01484.4	1906	1707	517.926	41.1486
LOC_Os01g01484.1	2241	2042	174.998	11.6225
LOC_Os01g01484.2	2238	2039	13.5077	0.898435
LOC_Os01g01484.5	2301	2102	25.5692	1.6497
LOC_Os01g01500.1	303	104.564	0	0
LOC_Os01g01510.2	2506	2307	15.8349	0.93087
LOC_Os01g01510.1	2425	2226	349.165	21.2729
LOC_Os01g01520.1	1745	1546	16	1.40356
LOC_Os01g01530.1	1350	1151	0	0
LOC_Os01g01540.1	513	314	0	0
LOC_Os01g01550.1	1329	1130	1.92625	0.231183
LOC_Os01g01560.1	2240	2041	3.14676	0.209094
LOC_Os01g01570.1	1950	1751	162.853	12.6134
LOC_Os01g01580.1	692	493	7	1.92563
LOC_Os01g01590.1	339	140.036	3	2.90537
LOC_Os01g01600.1	1700	1501	3	0.271058
LOC_Os01g01610.1	837	638	40	8.50278
LOC_Os01g01620.1	1609	1410	665	63.9623
LOC_Os01g01640.1	1026	827	281	46.0811
LOC_Os01g01650.1	1313	1114	1	0.121741
LOC_Os01g01660.1	1207	1008	26	3.49812
LOC_Os01g01670.2	1117	918	6.36544	0.940389
LOC_Os01g01670.1	991	792	53.6346	9.1842
LOC_Os01g01680.1	1023	824	21	3.45632
LOC_Os01g01689.3	9026	8827	452.412	6.95092
LOC_Os01g01689.1	8736	8537	313.588	4.98168
LOC_Os01g01700.1	779	580	371	86.7496
LOC_Os01g01710.1	1902	1703	4571.46	364.051
LOC_Os01g01710.2	1801	1602	160.542	13.5909
LOC_Os01g01720.1	1913	1714	327.794	25.9366
LOC_Os01g01720.2	1910	1711	199.206	15.7897
LOC_Os01g01730.1	573	374	0	0
LOC_Os01g01740.1	2068	1869	19	1.37869
LOC_Os01g01760.1	711	512	11	2.9137
LOC_Os01g01770.1	1005	806	1	0.168262
LOC_Os01g01780.1	2084	1885	48	3.45344
LOC_Os01g01790.1	2404	2205	2294.25	141.108
LOC_Os01g01790.2	2061	1862	35.7538	2.60414
LOC_Os01g01800.2	3133	2934	127.355	5.88678
LOC_Os01g01800.1	3071	2872	276.645	13.0635
LOC_Os01g01810.1	318	119.198	0	0
LOC_Os01g01830.1	3274	3075	719	31.7107
LOC_Os01g01840.1	1284	1085	447.762	55.968
LOC_Os01g01850.1	6084	5885	0	0
LOC_Os01g01860.1	3144	2945	0	0
LOC_Os01g01870.1	1347	1148	408	48.1992
LOC_Os01g01880.1	625	426	0	0
LOC_Os01g01890.1	2374	2175	17	1.06001
LOC_Os01g01900.1	3243	3044	0	0
LOC_Os01g01910.1	765	566	56	13.4182
LOC_Os01g01920.1	2324	2125	42.2144	2.69416
LOC_Os01g01920.2	2220	2021	622.786	41.7921
LOC_Os01g01925.1	579	380	1	0.356893
LOC_Os01g01930.1	726	527	1	0.257342
LOC_Os01g01940.1	1243	1044	7	0.909325
LOC_Os01g01950.1	663	464	0	0
LOC_Os01g01960.1	4570	4371	2493	77.3505
LOC_Os01g01970.2	1089	890	98.322	14.9824
LOC_Os01g01970.1	1151	952	10.678	1.52115
LOC_Os01g01980.1	642	443	0	0
LOC_Os01g01990.1	354	155.009	0	0
LOC_Os01g02000.1	2767	2568	22.5297	1.18982
LOC_Os01g02010.1	1408	1209	49.4703	5.54933
LOC_Os01g02020.1	2319	2120	447	28.5952
LOC_Os01g02020.3	2184	1985	0	0
LOC_Os01g02040.1	3085	2886	24	1.12781
LOC_Os01g02040.2	2608	2409	0	0
LOC_Os01g02050.1	3492	3293	11	0.453025
LOC_Os01g02060.1	2088	1889	0	0
LOC_Os01g02060.2	2007	1808	3	0.225032
LOC_Os01g02070.1	483	284	0	0
LOC_Os01g02080.1	1234	1035	264	34.5928
LOC_Os01g02090.2	2440	2241	0	0
LOC_Os01g02090.1	2454	2255	824	49.5567
LOC_Os01g02100.4	2522	2323	7.9925e-08	4.66611e-09
LOC_Os01g02100.1	2574	2375	25.3816	1.44936
LOC_Os01g02100.3	2404	2205	128.613	7.91037
LOC_Os01g02100.2	2406	2207	0.00577007	0.000354569
LOC_Os01g02110.1	1475	1276	0	0
LOC_Os01g02120.1	1055	856	0	0
LOC_Os01g02130.1	945	746	9	1.63616
LOC_Os01g02139.1	527	328	18	7.44253
LOC_Os01g02150.1	1049	850	56	8.93492
LOC_Os01g02160.1	821	622	0	0
LOC_Os01g02170.2	3681	3482	59	2.29797
LOC_Os01g02170.1	3985	3786	0	0
LOC_Os01g02180.1	2126	1927	28.5059	2.0062
LOC_Os01g02180.2	1610	1411	137.434	13.2095
LOC_Os01g02190.1	1045	846	0	0
LOC_Os01g02200.1	1607	1408	456	43.9222
LOC_Os01g02210.1	1935	1736	0	0
LOC_Os01g02220.1	2454	2255	0	0
LOC_Os01g02230.1	2898	2699	0	0
LOC_Os01g02240.1	4758	4559	0	0
LOC_Os01g02250.1	4035	3836	0	0
LOC_Os01g02260.1	1185	986	0	0
LOC_Os01g02270.1	3504	3305	68.9212	2.82815
LOC_Os01g02280.1	5367	5168	0	0
LOC_Os01g02290.1	2101	1902	9.33786	0.665823
LOC_Os01g02290.2	1985	1786	0	0
LOC_Os01g02300.1	2467	2268	6	0.358781
